dataset,sweep,panel,level,n_H_level,method,excess,se,tau,tau_se,n_H,n_L,n
mt_bench,budget,large6,320.0,-1,dial_mu,0.011535046824229723,0.0009135692399321986,0.9253333333333333,0.009454989444564462,320.0,6756.48,50
mt_bench,budget,large6,320.0,-1,human_only,0.013430148524080998,0.0011270246153489132,0.8853333333333333,0.007628565483619344,320.0,22935.14,50
mt_bench,budget,small6,-1.0,-1,consensus_cal,0.013441628215859258,0.0009117129011921129,0.9066666666666666,0.012196427118919712,421.7,6279.88,50
mt_bench,budget,small6,-1.0,-1,dial_mu,0.012021597554497172,0.0009222056002374945,0.9199999999999998,0.01007905261357939,421.7,6279.88,50
mt_bench,budget,small6,-1.0,-1,human_only,0.011325863220746208,0.0008484639293739566,0.8746666666666666,0.004523558890300159,421.7,22935.14,50
mt_bench,budget,small6,20.0,-1,consensus_cal,0.04269648388399897,0.0054971715284457085,0.9066666666666666,0.012196427118919712,20.0,6279.88,50
mt_bench,budget,small6,20.0,-1,dial_mu,0.14655548906680133,0.0375981743463078,0.8613333333333333,0.020500760452683744,20.0,6279.88,50
mt_bench,budget,small6,20.0,-1,human_only,2.9287701661424013,0.38053023717504164,0.5946666666666666,0.034488290431257215,20.0,22935.14,50
mt_bench,budget,small6,40.0,-1,consensus_cal,0.02594340529837025,0.002379007190147672,0.9066666666666666,0.012196427118919712,40.0,6279.88,50
mt_bench,budget,small6,40.0,-1,dial_mu,0.07831802561421541,0.024096860099056105,0.8693333333333332,0.01593182755529637,40.0,6279.88,50
mt_bench,budget,small6,40.0,-1,human_only,0.4589654765261305,0.10186069033227134,0.7413333333333333,0.022346680953999942,40.0,22935.14,50
mt_bench,budget,small6,80.0,-1,consensus_cal,0.017746580975072007,0.001358976025646347,0.9066666666666666,0.012196427118919712,80.0,6279.88,50
mt_bench,budget,small6,80.0,-1,dial_mu,0.023830217306905425,0.0029042202724457026,0.888,0.012839847273411592,80.0,6279.88,50
mt_bench,budget,small6,80.0,-1,human_only,0.09657760247796546,0.031258056186690836,0.8053333333333333,0.015803785533479265,80.0,22935.14,50
mt_bench,budget,small6,160.0,-1,consensus_cal,0.016739083630454427,0.0016365658345402637,0.9066666666666666,0.012196427118919712,160.0,6279.88,50
mt_bench,budget,small6,160.0,-1,dial_mu,0.020739074836676242,0.0032654314921317187,0.9039999999999999,0.014274281139196335,160.0,6279.88,50
mt_bench,budget,small6,160.0,-1,human_only,0.04038452197463862,0.015140552505635297,0.8666666666666666,0.017457431218879386,160.0,22935.14,50
mt_bench,budget,small6,320.0,-1,consensus_cal,0.014481288735155947,0.00107756624615655,0.9066666666666666,0.012196427118919712,320.0,6279.88,50
mt_bench,budget,small6,320.0,-1,dial_mu,0.013108045643995677,0.001092453274983226,0.9119999999999999,0.009794255338805664,320.0,6279.88,50
mt_bench,budget,small6,320.0,-1,human_only,0.013430148524080998,0.0011270246153489132,0.8853333333333333,0.007628565483619344,320.0,22935.14,50
mt_bench,llm_budget,all,40.0,80,consensus_cal,0.10624836408070097,0.00869063158889262,0.5866666666666667,0.032826072265931594,80.0,40.0,50
mt_bench,llm_budget,all,40.0,80,dial_mu,0.0476642503941081,0.005275412439938749,0.7759999999999999,0.021697570843273353,80.0,40.0,50
mt_bench,llm_budget,all,40.0,80,human_only,0.09657760247796546,0.031258056186690836,0.8053333333333333,0.015803785533479265,80.0,40.0,50
mt_bench,llm_budget,all,80.0,80,consensus_cal,0.09937550849935634,0.008287008097511619,0.6346666666666666,0.03137022000158503,80.0,80.0,50
mt_bench,llm_budget,all,80.0,80,dial_mu,0.04415531608354937,0.003987522320775713,0.7839999999999999,0.016557191475886267,80.0,80.0,50
mt_bench,llm_budget,all,80.0,80,human_only,0.09657760247796546,0.031258056186690836,0.8053333333333333,0.015803785533479265,80.0,80.0,50
mt_bench,llm_budget,all,160.0,80,consensus_cal,0.07614926139128089,0.006773968084233637,0.6773333333333333,0.025580604897827878,80.0,160.0,50
mt_bench,llm_budget,all,160.0,80,dial_mu,0.047400249819146124,0.004522464682489777,0.7839999999999999,0.0178235239090127,80.0,160.0,50
mt_bench,llm_budget,all,160.0,80,human_only,0.09657760247796546,0.031258056186690836,0.8053333333333333,0.015803785533479265,80.0,160.0,50
mt_bench,llm_budget,all,400.0,80,consensus_cal,0.03422098004208684,0.0035825600657990336,0.8506666666666667,0.01730714924434369,80.0,400.0,50
mt_bench,llm_budget,all,400.0,80,dial_mu,0.04204552169651741,0.010498808265641294,0.8719999999999999,0.012022654352807237,80.0,400.0,50
mt_bench,llm_budget,all,400.0,80,human_only,0.09657760247796546,0.031258056186690836,0.8053333333333333,0.015803785533479265,80.0,400.0,50
mt_bench,llm_budget,all,1600.0,80,consensus_cal,0.059913335983151225,0.011817912569946997,0.9119999999999999,0.010509039408863788,80.0,1600.0,50
mt_bench,llm_budget,all,1600.0,80,dial_mu,0.046041090294836676,0.012837013484783602,0.8906666666666666,0.013025006474117145,80.0,1600.0,50
mt_bench,llm_budget,all,1600.0,80,human_only,0.09657760247796546,0.031258056186690836,0.8053333333333333,0.015803785533479265,80.0,1600.0,50
mt_bench,llm_budget,large6,40.0,80,consensus_cal,0.10407105875512164,0.009815089396623436,0.5786666666666666,0.03910286451918122,80.0,40.0,50
mt_bench,llm_budget,large6,40.0,80,dial_mu,0.048987590529749415,0.005461215213443502,0.816,0.015185623945138855,80.0,40.0,50
mt_bench,llm_budget,large6,40.0,80,human_only,0.09657760247796546,0.031258056186690836,0.8053333333333333,0.015803785533479265,80.0,40.0,50
mt_bench,llm_budget,large6,80.0,80,consensus_cal,0.07346334017261918,0.008235611828186972,0.696,0.028004534780173874,80.0,80.0,50
mt_bench,llm_budget,large6,80.0,80,dial_mu,0.0486625588046619,0.006804759600760902,0.7919999999999999,0.016675099907229932,80.0,80.0,50
mt_bench,llm_budget,large6,80.0,80,human_only,0.09657760247796546,0.031258056186690836,0.8053333333333333,0.015803785533479265,80.0,80.0,50
mt_bench,llm_budget,large6,160.0,80,consensus_cal,0.054957309648857006,0.005787516945983622,0.7866666666666666,0.02999622047242594,80.0,160.0,50
mt_bench,llm_budget,large6,160.0,80,dial_mu,0.041914450774313015,0.007339945707661683,0.8586666666666666,0.015432098362307876,80.0,160.0,50
mt_bench,llm_budget,large6,160.0,80,human_only,0.09657760247796546,0.031258056186690836,0.8053333333333333,0.015803785533479265,80.0,160.0,50
mt_bench,llm_budget,large6,400.0,80,consensus_cal,0.03831240109613972,0.004355371259277626,0.8906666666666666,0.012455453504207094,80.0,400.0,50
mt_bench,llm_budget,large6,400.0,80,dial_mu,0.03832270423748378,0.007428412642387623,0.8746666666666666,0.014954503943916586,80.0,400.0,50
mt_bench,llm_budget,large6,400.0,80,human_only,0.09657760247796546,0.031258056186690836,0.8053333333333333,0.015803785533479265,80.0,400.0,50
